Master Broker List (Ross's List),,,,,,Matched Information Present in Broker Generated Agency Name and Code List,,
CGAC.AGENCY.CODE,SUBTIER.CODE,AGENCY.NAME,ORIGINAL.SOURCE.FOR.CGAC.or.SubTier,SUBTIER.NAME,listsource.x,awarding_agency_name,awarding_sub_tier_agency_n,listsource.y
19,19BM,Department of State,FPDS File,International Boundary and Water Commission: U.S.-Mexico,CompiledList,Department of State,19BM: INTERNATIONAL BOUNDARY AND WATER COMMISSION: U.S.-MEXICO,BrokerGenerated
19,19CB,Department of State,NIST (2008),International Natural Rubber Organization,CompiledList,NA,NA,NA
19,19CC,Department of State,NIST (2008),International Cotton Advisory Committee ,CompiledList,NA,NA,NA
19,19CF,Department of State,NIST (2008),International Coffee Organization,CompiledList,NA,NA,NA
19,19CJ,Department of State,NIST (2008),International Jute Study Group,CompiledList,NA,NA,NA
19,19CL,Department of State,NIST (2008),International Lead and Zinc Study Group ,CompiledList,NA,NA,NA
19,19CR,Department of State,NIST (2008),International Rubber Study Group,CompiledList,NA,NA,NA
19,19CS,Department of State,NIST (2008),International Sugar Organization ,CompiledList,NA,NA,NA
19,19CU,Department of State,NIST (2008),International Copper Study Group,CompiledList,NA,NA,NA
19,19CV,Department of State,NIST (2008),International Office of the Vine and Wine ,CompiledList,NA,NA,NA
19,19CW,Department of State,NIST (2008),International Grains Council,CompiledList,NA,NA,NA
19,19CX,Department of State,NIST (2008),International Tropical Timber Organization,CompiledList,NA,NA,NA
19,19DC,Department of State,NIST (2008),Permanent Joint Board on Defense – U.S. and Canada ,CompiledList,NA,NA,NA
19,19DM,Department of State,NIST (2008),Joint Mexican-United States Defense Commission ,CompiledList,NA,NA,NA
19,19EC,Department of State,NIST (2008),International Agency for Research on Cancer,CompiledList,NA,NA,NA
19,19EM,Department of State,NIST (2008),International Bureau of Weights and Measures,CompiledList,NA,NA,NA
19,19EP,Department of State,NIST (2008),International Center -- Study of the Preservation and Restoration of Cultural Property ,CompiledList,NA,NA,NA
19,19ES,Department of State,NIST (2008),International Seed Testing Association,CompiledList,NA,NA,NA
19,19EV,Department of State,NIST (2008),International Union for the Protection of New Varieties of Plants ,CompiledList,NA,NA,NA
19,19EZ,Department of State,NIST (2008),International Office of Epizootics,CompiledList,NA,NA,NA
19,19FA,Department of State,NIST (2008),North Atlantic Salmon Conservation Organization ,CompiledList,NA,NA,NA
19,19FD,Department of State,NIST (2008),Pacific Salmon Commission,CompiledList,NA,NA,NA
19,19FE,Department of State,NIST (2008),International Council for the Exploration of the Sea ,CompiledList,NA,NA,NA
19,19FG,Department of State,NIST (2008),Great Lakes Fishery Commission,CompiledList,NA,NA,NA
19,19FH,Department of State,NIST (2008),International Pacific Halibut Commission ,CompiledList,NA,NA,NA
19,19FK,Department of State,NIST (2008),North Pacific Anadromous Fish Commission,CompiledList,NA,NA,NA
19,19FL,Department of State,NIST (2008),International Commission for the Conservation of Atlantic Tunas ,CompiledList,NA,NA,NA
19,19FN,Department of State,NIST (2008),Northwest Atlantic Fisheries Organization,CompiledList,NA,NA,NA
19,19FR,Department of State,NIST (2008),Commission for the Conservation of Antarctic Marine Living Resources ,CompiledList,NA,NA,NA
19,19FT,Department of State,NIST (2008),Inter-American Tropical Tuna Commission,CompiledList,NA,NA,NA
19,19FW,Department of State,NIST (2008),International Whaling Commission,CompiledList,NA,NA,NA
19,19FY,Department of State,NIST (2008),North Pacific Marine Science Organization,CompiledList,NA,NA,NA
19,19LA,Department of State,NIST (2008),International Bureau of the Permanent Court of Arbitration ,CompiledList,NA,NA,NA
19,19LH,Department of State,NIST (2008),Hague Conference on Private International Law,CompiledList,NA,NA,NA
19,19LM,Department of State,NIST (2008),International Organization for Legal Metrology,CompiledList,NA,NA,NA
19,19LU,Department of State,NIST (2008),International Institute for the Unification of Private Law ,CompiledList,NA,NA,NA
19,19MC,Department of State,NIST (2008),U.N. Memorial Cemetery Commission,CompiledList,NA,NA,NA
19,19ME,Department of State,NIST (2008),International Organization for Migration,CompiledList,NA,NA,NA
19,19MR,Department of State,NIST (2008),International Committee of the Red Cross,CompiledList,NA,NA,NA
19,19NH,Department of State,NIST (2008),International Hydrographic Organization,CompiledList,NA,NA,NA
19,19PC,Department of State,NIST (2008),Canada-United States Interparliamentary Group ,CompiledList,NA,NA,NA
19,19PM,Department of State,NIST (2008),Mexico-United States Interparliamentary Group ,CompiledList,NA,NA,NA
19,19PU,Department of State,NIST (2008),Interparliamentary Union,CompiledList,NA,NA,NA
19,19RA,Department of State,NIST (2008),NATO Parliamentary Assembly,CompiledList,NA,NA,NA
19,19RC,Department of State,NIST (2008),Colombo Plan Council for Technical Cooperation,CompiledList,NA,NA,NA
19,19RD,Department of State,NIST (2008),Colombo Plan for Coop. Econ. and Social Develop. In Asia and the Pacific ,CompiledList,NA,NA,NA
19,19RE,Department of State,NIST (2008),Organization for Economic Cooperation and Development,CompiledList,NA,NA,NA
19,19RJ,Department of State,NIST (2008),Asia-Pacific Economic Cooperation ,CompiledList,NA,NA,NA
19,19RN,Department of State,NIST (2008),North Atlantic Treaty Organization ,CompiledList,NA,NA,NA
19,19RP,Department of State,NIST (2008),Secretariat of the Pacific Community,CompiledList,NA,NA,NA
19,19TB,Department of State,Historical USAspending data,Office of the Under Secretary for Public Diplomacy and Public Affairs,CompiledList,NA,NA,NA
19,19TC,Department of State,NIST (2008),World Customs Organization,CompiledList,NA,NA,NA
19,19TP,Department of State,NIST (2008),International Bureau for the Publication of Customs Tariffs ,CompiledList,NA,NA,NA
19,19TT,Department of State,NIST (2008),General Agreement on Tariffs and Trade,CompiledList,NA,NA,NA
19,19TW,Department of State,NIST (2008),World Tourism Organization ,CompiledList,NA,NA,NA
19,19TX,Department of State,NIST (2008),Bureau of International Expositions,CompiledList,NA,NA,NA
19,19UA,Department of State,NIST (2008),International Civil Aviation Organization ,CompiledList,NA,NA,NA
19,19UE,Department of State,NIST (2008),International Atomic Energy Agency ,CompiledList,NA,NA,NA
19,19UF,Department of State,NIST (2008),Food and Agriculture Organization ,CompiledList,NA,NA,NA
19,19UG,Department of State,NIST (2008),International Maritime Organization,CompiledList,NA,NA,NA
19,19UH,Department of State,NIST (2008),World Health Organization,CompiledList,NA,NA,NA
19,19UK,Department of State,NIST (2008),United Nations Industrial Development Organization ,CompiledList,NA,NA,NA
19,19UL,Department of State,NIST (2008),International Labor Organization,CompiledList,NA,NA,NA
19,19UM,Department of State,NIST (2008),World Meteorological Organization ,CompiledList,NA,NA,NA
19,19UN,Department of State,NIST (2008),United Nations (and Special Programs) ,CompiledList,NA,NA,NA
19,19UP,Department of State,NIST (2008),Universal Postal Union,CompiledList,NA,NA,NA
19,19UT,Department of State,NIST (2008),International Telecommunication Union ,CompiledList,NA,NA,NA
19,19UW,Department of State,NIST (2008),World Intellectual Property Organization,CompiledList,NA,NA,NA
20,2000,Department of the Treasury,OMB File,Department of the Treasury,CompiledList,NA,NA,NA
20,2001,Department of the Treasury,OMB File,Departmental Offices,CompiledList,Department of the Treasury,2001: DEPARTMENTAL OFFICES,BrokerGenerated
20,2001,Department of the Treasury,OMB File,Departmental Offices,CompiledList,Department of the Treasury,Departmental Offices,BrokerGenerated
20,2001,Department of the Treasury,OMB File,Departmental Offices,CompiledList,Department of the Treasury (TREAS),Departmental Offices,BrokerGenerated
20,2003,Department of the Treasury,OMB File,Office of the General Counsel,CompiledList,NA,NA,NA
20,2004,Department of the Treasury,OMB File,Office of Inspector General,CompiledList,Department of the Treasury,2004: INSPECTOR GENERAL,BrokerGenerated
20,2004,Department of the Treasury,OMB File,Office of Inspector General,CompiledList,Department of the Treasury (TREAS),INSPECTOR GENERAL,BrokerGenerated
20,2005,Department of the Treasury,OMB File,Office of the Assistant Secretary (Management),CompiledList,NA,NA,NA
20,2006,Department of the Treasury,OMB File,Office of the Assistant Secretary (Economic Policy),CompiledList,NA,NA,NA
20,2007,Department of the Treasury,OMB File,Office of the Assistant Secretary (Legislative Affairs),CompiledList,NA,NA,NA
20,2008,Department of the Treasury,OMB File,Office of the Assistant Secretary (Public Affairs and Public Liaison),CompiledList,NA,NA,NA
20,2009,Department of the Treasury,OMB File,Office of the Assistant Secretary (International Affairs),CompiledList,NA,NA,NA
20,2014,Department of the Treasury,OMB File,Office of the Inspector General for Tax Administration,CompiledList,Department of the Treasury,2014: OFFICE OF THE INSPECTOR GENERAL FOR TAX ADMINISTRATION,BrokerGenerated
20,2014,Department of the Treasury,OMB File,Office of the Inspector General for Tax Administration,CompiledList,Department of the Treasury (TREAS),OFFICE OF THE INSPECTOR GENERAL FOR TAX ADMINISTRATION,BrokerGenerated
20,2017,Department of the Treasury,OMB File,Office of the Assistant Secretary (Tax Policy),CompiledList,NA,NA,NA
20,2020,Department of the Treasury,Historical USAspending data,Immediate Office of the Assistant Secretary (Enforcement and Operations),CompiledList,NA,NA,NA
20,2022,Department of the Treasury,OMB File,Alcohol and Tobacco Tax and Trade Bureau,CompiledList,Department of the Treasury,2022: ALCOHOL AND TOBACCO TAX AND TRADE BUREAU,BrokerGenerated
20,2022,Department of the Treasury,OMB File,Alcohol and Tobacco Tax and Trade Bureau,CompiledList,Department of the Treasury (TREAS),ALCOHOL AND TOBACCO TAX AND TRADE BUREAU,BrokerGenerated
20,2024,Department of the Treasury,OMB File,Federal Law Enforcement Training Center,CompiledList,NA,NA,NA
20,2026,Department of the Treasury,OMB File,Financial Crime Enforcement Network,CompiledList,Department of the Treasury,2026: FINANCIAL CRIME ENFORCEMENT NETWORK,BrokerGenerated
20,2026,Department of the Treasury,OMB File,Financial Crime Enforcement Network,CompiledList,Department of the Treasury (TREAS),FINANCIAL CRIME ENFORCEMENT NETWORK,BrokerGenerated
20,2028,Department of the Treasury,Historical USAspending data,U.S. Secret Service,CompiledList,NA,NA,NA
20,202E,Department of the Treasury,OMB File,Office of Enforcement and Operations,CompiledList,NA,NA,NA
20,202M,Department of the Treasury,OMB File,Office of Monetary Affairs,CompiledList,NA,NA,NA
20,202T,Department of the Treasury,OMB File,Office of the Treasurer of the United States,CompiledList,NA,NA,NA
20,2030,Department of the Treasury,OMB File,Immediate Office of the Under Secretary for Monetary Affairs,CompiledList,NA,NA,NA
20,2031,Department of the Treasury,OMB File,Immediate Office of the Fiscal Assistant Secretary,CompiledList,NA,NA,NA
20,2032,Department of the Treasury,OMB File,Office of the Assistant Secretary (Domestic Finance),CompiledList,NA,NA,NA
20,2033,Department of the Treasury,OMB File,Financial Management Service,CompiledList,Department of the Treasury,2033: FINANCIAL MANAGEMENT SERVICE,BrokerGenerated
20,2036,Department of the Treasury,OMB File,Bureau of the Fiscal Service,CompiledList,Department of the Treasury,BUREAU OF THE FISCAL SERVICE,BrokerGenerated
20,2036,Department of the Treasury,OMB File,Bureau of the Fiscal Service,CompiledList,Department of the Treasury,2036: BUREAU OF THE FISCAL SERVICE,BrokerGenerated
20,2036,Department of the Treasury,OMB File,Bureau of the Fiscal Service,CompiledList,Department of the Treasury (TREAS),BUREAU OF THE FISCAL SERVICE,BrokerGenerated
20,2037,Department of the Treasury,OMB File,Immediate Office of the Deputy Assistant Secretary (Enforcement),CompiledList,NA,NA,NA
20,2038,Department of the Treasury,OMB File,Office of Foreign Assets Control,CompiledList,NA,NA,NA
20,2039,Department of the Treasury,OMB File,Office of the Deputy Assistant Secretary (Operations),CompiledList,NA,NA,NA
20,203F,Department of the Treasury,OMB File,Office of the Fiscal Assistant Secretary,CompiledList,NA,NA,NA
20,203N,Department of the Treasury,OMB File,Office of the Deputy Assistant Secretary (Enforcement),CompiledList,NA,NA,NA
20,2040,Department of the Treasury,OMB File,Immediate Office of Treasurer of the United States,CompiledList,NA,NA,NA
20,2041,Department of the Treasury,OMB File,Bureau of Engraving and Printing,CompiledList,Department of the Treasury,2041: BUREAU OF ENGRAVING AND PRINTING,BrokerGenerated
20,2041,Department of the Treasury,OMB File,Bureau of Engraving and Printing,CompiledList,Department of the Treasury (TREAS),BUREAU OF ENGRAVING AND PRINTING,BrokerGenerated
20,2041,Department of the Treasury,OMB File,Bureau of Engraving and Printing,CompiledList,Department of the Treasury,BUREAU OF ENGRAVING AND PRINTING,BrokerGenerated
20,2044,Department of the Treasury,OMB File,United States Mint,CompiledList,Department of the Treasury,2044: UNITED STATES MINT,BrokerGenerated
20,2044,Department of the Treasury,OMB File,United States Mint,CompiledList,Department of the Treasury,UNITED STATES MINT,BrokerGenerated
20,2044,Department of the Treasury,OMB File,United States Mint,CompiledList,Department of the Treasury (TREAS),UNITED STATES MINT,BrokerGenerated
20,2046,Department of the Treasury,OMB File,Office of the Comptroller of the Currency,CompiledList,Department of the Treasury,2046: OFFICE OF THE COMPTROLLER OF THE CURRENCY,BrokerGenerated
20,2046,Department of the Treasury,OMB File,Office of the Comptroller of the Currency,CompiledList,Department of the Treasury,OFFICE OF THE COMPTROLLER OF THE CURRENCY,BrokerGenerated
20,2046,Department of the Treasury,OMB File,Office of the Comptroller of the Currency,CompiledList,Department of the Treasury (TREAS),OFFICE OF THE COMPTROLLER OF THE CURRENCY,BrokerGenerated
20,2047,Department of the Treasury,OMB File,Office of Thrift Supervision,CompiledList,NA,NA,NA
20,2048,Department of the Treasury,OMB File,U.S. Savings Bonds Division,CompiledList,NA,NA,NA
20,2050,Department of the Treasury,OMB File,Internal Revenue Service,CompiledList,"TREASURY, DEPARTMENT OF THE (2000)",Internal Revenue Service,BrokerGenerated
20,2050,Department of the Treasury,OMB File,Internal Revenue Service,CompiledList,Department of the Treasury,INTERNAL REVENUE SERVICE,BrokerGenerated
20,2050,Department of the Treasury,OMB File,Internal Revenue Service,CompiledList,Department of the Treasury,2050: INTERNAL REVENUE SERVICE,BrokerGenerated
20,2050,Department of the Treasury,OMB File,Internal Revenue Service,CompiledList,Department of the Treasury (TREAS),Internal Revenue Service,BrokerGenerated
20,2061,Department of the Treasury,OMB File,Federal Financing Bank,CompiledList,NA,NA,NA
20,2062,Department of the Treasury,OMB File,Federal Financial Institutions Examination Council,CompiledList,NA,NA,NA
20,2065,Department of the Treasury,Historical USAspending data,National Advisory Council on International Monetary and Financial Policy,CompiledList,NA,NA,NA
20,2066,Department of the Treasury,OMB File,Community Development Financial Institutions Fund,CompiledList,Department of the Treasury (TREAS),Community Development Financial Institutions Fund,BrokerGenerated
20,2066,Department of the Treasury,OMB File,Community Development Financial Institutions Fund,CompiledList,Department of the Treasury (TREAS),COMMUNITY DEVELOPMENT FINANCIAL INSTITUTIONS,BrokerGenerated
20,2066,Department of the Treasury,OMB File,Community Development Financial Institutions Fund,CompiledList,Department of the Treasury,Community Development Financial Institutions Fund,BrokerGenerated
20,2066,Department of the Treasury,OMB File,Community Development Financial Institutions Fund,CompiledList,Department of the Treasury,2066: COMMUNITY DEVELOPMENT FINANCIAL INSTITUTIONS,BrokerGenerated
20,2083,Department of the Treasury,OMB File,Special Inspector General for the Troubled Asset Relief Program (TARP),CompiledList,Department of the Treasury (TREAS),SPECIAL INSPECTOR GENERAL FOR THE TROUBLED ASSET RELIEF PROGRAM,BrokerGenerated
20,2083,Department of the Treasury,OMB File,Special Inspector General for the Troubled Asset Relief Program (TARP),CompiledList,Department of the Treasury,2083: SPECIAL INSPECTOR GENERAL FOR THE TROUBLED ASSET RELIEF PROGRAM,BrokerGenerated
20,2092,Department of the Treasury,OMB File,Corporation for Public Broadcasting,CompiledList,NA,NA,NA
20,2093,Department of the Treasury,OMB File,District of Columbia,CompiledList,NA,NA,NA
20,2095,Department of the Treasury,OMB File,Legal Services Corporation,CompiledList,NA,NA,NA
20,2098,Department of the Treasury,OMB File,New York City,CompiledList,NA,NA,NA
20,20LP,Department of the Treasury,OMB File,International Criminal Police Organization,CompiledList,NA,NA,NA
21,Subsumed under DOD submissions. Not listed here so as to avoid dupliation.,Department of the Army,A-11 Circular and CARS File,Subsumed under DOD submissions. Not listed here so as to avoid dupliation.,CompiledList,NA,NA,NA
22,2200,Resolution Funding Corporation,Historical USAspending data + made up CGAC,Resolution Funding Corporation,CompiledList,NA,NA,NA
22,2281,Resolution Funding Corporation,NIST (2008) + made up CGAC,Resolution Funding Corporation (REFCORP),CompiledList,NA,NA,NA
23,2300,U.S. Tax Court,OMB File,U.S. Tax Court,CompiledList,NA,NA,NA
24,2400,Office of Personnel Management,OMB File,Office of Personnel Management,CompiledList,Office of Personnel Management,OFFICE OF PERSONNEL MANAGEMENT,BrokerGenerated
24,2400,Office of Personnel Management,OMB File,Office of Personnel Management,CompiledList,Office of Personnel Management (OPM),OFFICE OF PERSONNEL MANAGEMENT,BrokerGenerated
24,2400,Office of Personnel Management,OMB File,Office of Personnel Management,CompiledList,Office of Personnel Management,2400: OFFICE OF PERSONNEL MANAGEMENT,BrokerGenerated
24,2460,Office of Personnel Management,OMB File,Federal Prevailing Rate Advisory Committee,CompiledList,NA,NA,NA
24,2461,Office of Personnel Management,OMB File,President's Commission on White House Fellowships,CompiledList,NA,NA,NA
24,2462,Office of Personnel Management,OMB File,President's Commission on Executive Exchange,CompiledList,NA,NA,NA
24,24P1,Office of Personnel Management,OMB File,"Federal Executive Board-Albuquerque, NM",CompiledList,NA,NA,NA
24,24P4,Office of Personnel Management,OMB File,"Federal Executive Board-Atlanta, GA",CompiledList,NA,NA,NA
24,24P7,Office of Personnel Management,OMB File,"Federal Executive Board-Baltimore, MD",CompiledList,NA,NA,NA
24,24Q1,Office of Personnel Management,OMB File,"Federal Executive Board-Boston, MA",CompiledList,NA,NA,NA
24,24Q4,Office of Personnel Management,OMB File,"Federal Executive Board-Buffalo, NY",CompiledList,NA,NA,NA
24,24Q7,Office of Personnel Management,OMB File,"Federal Executive Board-Chicago, IL",CompiledList,NA,NA,NA
24,24R1,Office of Personnel Management,OMB File,"Federal Executive Board-Cincinnati, OH",CompiledList,NA,NA,NA
24,24R4,Office of Personnel Management,OMB File,"Federal Executive Board-Cleveland, OH",CompiledList,NA,NA,NA
24,24R7,Office of Personnel Management,OMB File,"Federal Executive Board-Dallas-Ft.Worth, TX",CompiledList,NA,NA,NA
24,24S1,Office of Personnel Management,OMB File,"Federal Executive Board-Denver, CO",CompiledList,NA,NA,NA
24,24S4,Office of Personnel Management,OMB File,"Federal Executive Board-Detroit, MI",CompiledList,NA,NA,NA
24,24S7,Office of Personnel Management,OMB File,"Federal Executive Board-Honolulu, HI",CompiledList,NA,NA,NA
24,24T1,Office of Personnel Management,OMB File,"Federal Executive Board-Houston, TX",CompiledList,NA,NA,NA
24,24T4,Office of Personnel Management,OMB File,"Federal Executive Board-Kansas City, KS",CompiledList,NA,NA,NA
24,24T7,Office of Personnel Management,OMB File,"Federal Executive Board-Los Angeles, CA",CompiledList,NA,NA,NA
24,24V1,Office of Personnel Management,OMB File,"Federal Executive Board-Miami, FL",CompiledList,NA,NA,NA
24,24V4,Office of Personnel Management,OMB File,"Federal Executive Board-Newark, NJ",CompiledList,NA,NA,NA
24,24V7,Office of Personnel Management,OMB File,"Federal Executive Board-New Orleans, LA",CompiledList,NA,NA,NA
24,24W1,Office of Personnel Management,OMB File,"Federal Executive Board-New York City, NY",CompiledList,NA,NA,NA
24,24W4,Office of Personnel Management,OMB File,"Federal Executive Board-Oklahoma, City, OK",CompiledList,NA,NA,NA
24,24W7,Office of Personnel Management,OMB File,"Federal Executive Board-Philadelphia, PA",CompiledList,NA,NA,NA
24,24X1,Office of Personnel Management,OMB File,"Federal Executive Board-Pittsburgh, PA",CompiledList,NA,NA,NA
24,24X4,Office of Personnel Management,OMB File,"Federal Executive Board-Portland, OR",CompiledList,NA,NA,NA
24,24X7,Office of Personnel Management,OMB File,"Federal Executive Board-St. Louis, MO",CompiledList,NA,NA,NA
24,24Y1,Office of Personnel Management,OMB File,"Federal Executive Board-San Antonio, TX",CompiledList,NA,NA,NA
24,24Y4,Office of Personnel Management,OMB File,"Federal Executive Board-San Francisco, CA",CompiledList,NA,NA,NA
24,24Y7,Office of Personnel Management,OMB File,"Federal Executive Board-Seattle, WA",CompiledList,NA,NA,NA
24,24Z1,Office of Personnel Management,OMB File,"Federal Executive Board-Twin Cities, MN",CompiledList,NA,NA,NA
25,2500,National Credit Union Administration,OMB File,National Credit Union Administration,CompiledList,National Credit Union Administration (NCUA),National Credit Union Administration,BrokerGenerated
25,2500,National Credit Union Administration,OMB File,National Credit Union Administration,CompiledList,National Credit Union Administration,National Credit Union Administration,BrokerGenerated
25,2557,National Credit Union Administration,Historical USAspending data,Clerk Temporary Emergency,CompiledList,NA,NA,NA
26,2600,Federal Retirement Thrift Investment Board,OMB File,Federal Retirement Thrift Investment Board,CompiledList,NA,NA,NA
27,2700,Federal Communications Commission,OMB File,Federal Communications Commission,CompiledList,Federal Communications Commission,FEDERAL COMMUNICATIONS COMMISSION,BrokerGenerated
27,2700,Federal Communications Commission,OMB File,Federal Communications Commission,CompiledList,Federal Communications Commission,2700: FEDERAL COMMUNICATIONS COMMISSION,BrokerGenerated
27,2700,Federal Communications Commission,OMB File,Federal Communications Commission,CompiledList,Federal Communications Commission (FCC),FEDERAL COMMUNICATIONS COMMISSION,BrokerGenerated
28,2800,Social Security Administration,OMB File,Social Security Administration,CompiledList,Social Security Administration,Social Security Administration,BrokerGenerated
28,2800,Social Security Administration,OMB File,Social Security Administration,CompiledList,Social Security Administration (SSA),Social Security Administration,BrokerGenerated
28,2800,Social Security Administration,OMB File,Social Security Administration,CompiledList,SOCIAL SECURITY ADMINISTRATION (2800),Social Security Administration,BrokerGenerated
28,2800,Social Security Administration,OMB File,Social Security Administration,CompiledList,Social Security Administration,NA,BrokerGenerated
28,2800,Social Security Administration,OMB File,Social Security Administration,CompiledList,Social Security Administration,2800: SOCIAL SECURITY ADMINISTRATION,BrokerGenerated
28,2801,Social Security Administration,OMB File,Office of the Commissioner,CompiledList,NA,NA,NA
28,2803,Social Security Administration,OMB File,Office of the General Counsel,CompiledList,NA,NA,NA
28,2804,Social Security Administration,OMB File,Office of the Inspector General,CompiledList,NA,NA,NA
28,2805,Social Security Administration,OMB File,"Deputy Commissioner - Finance, Assessment and Management and Senior Financial Executive",CompiledList,NA,NA,NA
28,2806,Social Security Administration,OMB File,"Deputy Commissioner - Programs, Policy, Evaluation, and Communications",CompiledList,NA,NA,NA
28,2807,Social Security Administration,OMB File,Deputy Commissioner - Legislation and Congressional Affairs,CompiledList,NA,NA,NA
28,2810,Social Security Administration,OMB File,Deputy Commissioner - Human Resources,CompiledList,NA,NA,NA
28,2811,Social Security Administration,OMB File,Deputy Commissioner - Systems,CompiledList,NA,NA,NA
28,2812,Social Security Administration,OMB File,Deputy Commissioner - Operations,CompiledList,NA,NA,NA
28,2814,Social Security Administration,OMB File,Office of the Chief Actuary,CompiledList,NA,NA,NA
28,2816,Social Security Administration,OMB File,Deputy Commissioner - Communications,CompiledList,NA,NA,NA
28,2818,Social Security Administration,OMB File,Deputy Commissioner - Disability and Income Security Programs,CompiledList,NA,NA,NA
29,2900,Federal Trade Commission,OMB File,Federal Trade Commission,CompiledList,Federal Trade Commission (FTC),FEDERAL TRADE COMMISSION,BrokerGenerated
29,2900,Federal Trade Commission,OMB File,Federal Trade Commission,CompiledList,Federal Trade Commission,2900: FEDERAL TRADE COMMISSION,BrokerGenerated
29,2900,Federal Trade Commission,OMB File,Federal Trade Commission,CompiledList,Federal Trade Commission,FEDERAL TRADE COMMISSION,BrokerGenerated
30,3000,Interstate Commerce Commission,OMB File,Interstate Commerce Commission,CompiledList,NA,NA,NA
31,3100,Nuclear Regulatory Commission,OMB File,Nuclear Regulatory Commission,CompiledList,Nuclear Regulatory Commission (NRC),Nuclear Regulatory Commission,BrokerGenerated
31,3100,Nuclear Regulatory Commission,OMB File,Nuclear Regulatory Commission,CompiledList,Nuclear Regulatory Commission,Nuclear Regulatory Commission,BrokerGenerated
31,3100,Nuclear Regulatory Commission,OMB File,Nuclear Regulatory Commission,CompiledList,Nuclear Regulatory Commission,3100: NUCLEAR REGULATORY COMMISSION,BrokerGenerated
32,Unknown (may not exist),Synthetic Fuels Corporation,CARS File,Unknown (May Not Exist),CompiledList,NA,NA,NA
33,3300,Smithsonian Institution,OMB File,Smithsonian Institution,CompiledList,Smithsonian Institution,3300: SMITHSONIAN INSTITUTION,BrokerGenerated
33,3300,Smithsonian Institution,OMB File,Smithsonian Institution,CompiledList,Smithsonian Institution,SMITHSONIAN INSTITUTION,BrokerGenerated
33,3320,Smithsonian Institution,OMB File,"Smithsonian Institution, Executive Units Administration Under Sep Board of Trustees",CompiledList,NA,NA,NA
33,3352,Smithsonian Institution,OMB File,John F. Kennedy Center for the Performing Arts,CompiledList,NA,NA,NA
33,3355,Smithsonian Institution,OMB File,National Gallery of Art,CompiledList,Smithsonian Institution,NATIONAL GALLERY OF ART,BrokerGenerated
33,3355,Smithsonian Institution,OMB File,National Gallery of Art,CompiledList,Smithsonian Institution,3355: NATIONAL GALLERY OF ART,BrokerGenerated
33,3358,Smithsonian Institution,OMB File,Woodrow Wilson International Center for Scholars,CompiledList,NA,NA,NA
34,3400,International Trade Commission,OMB File,International Trade Commission,CompiledList,International Trade Commission (USITC),INTERNATIONAL TRADE COMMISSION,BrokerGenerated
34,3400,International Trade Commission,OMB File,International Trade Commission,CompiledList,U.S. International Trade Commission,INTERNATIONAL TRADE COMMISSION,BrokerGenerated
34,3400,International Trade Commission,OMB File,International Trade Commission,CompiledList,U.S. International Trade Commission,3400: INTERNATIONAL TRADE COMMISSION,BrokerGenerated
36,3600,Department of Veterans Affairs,OMB File,Department of Veterans Affairs,CompiledList,"VETERANS AFFAIRS, DEPARTMENT OF 3600)",Department of Veterans Affairs,BrokerGenerated
36,3600,Department of Veterans Affairs,OMB File,Department of Veterans Affairs,CompiledList,Department of Veterans Affairs,"3600: VETERANS AFFAIRS, DEPARTMENT OF",BrokerGenerated
36,3600,Department of Veterans Affairs,OMB File,Department of Veterans Affairs,CompiledList,Department of Veterans Affairs (VA),"VETERANS AFFAIRS, DEPARTMENT OF",BrokerGenerated
36,3600,Department of Veterans Affairs,OMB File,Department of Veterans Affairs,CompiledList,Department of Veterans Affairs,"VETERANS AFFAIRS, DEPARTMENT OF",BrokerGenerated
36,3600,Department of Veterans Affairs,OMB File,Department of Veterans Affairs,CompiledList,Department of Veterans Affairs (VA),Department of Veterans Affairs,BrokerGenerated
36,3601,Department of Veterans Affairs,OMB File,Office of the Secretary,CompiledList,NA,NA,NA
36,3602,Department of Veterans Affairs,OMB File,Office of the Deputy Secretary,CompiledList,NA,NA,NA
36,3603,Department of Veterans Affairs,OMB File,Office of General Counsel,CompiledList,NA,NA,NA
36,3604,Department of Veterans Affairs,OMB File,Office of Inspector General,CompiledList,NA,NA,NA
36,3605,Department of Veterans Affairs,OMB File,Assistant Secretary for Management,CompiledList,NA,NA,NA
36,3606,Department of Veterans Affairs,OMB File,Assistant Secretary for Planning and Analysis,CompiledList,NA,NA,NA
36,3607,Department of Veterans Affairs,OMB File,Assistant Secretary for Public and Intergovernmental Affairs,CompiledList,Department of Veterans Affairs (VA),Assistant Secretary for Public and Intergovernmental Affairs,BrokerGenerated
36,3607,Department of Veterans Affairs,OMB File,Assistant Secretary for Public and Intergovernmental Affairs,CompiledList,"VETERANS AFFAIRS, DEPARTMENT OF 3600)",Assistant Secretary for Public and Intergovernmental Affairs,BrokerGenerated
36,3608,Department of Veterans Affairs,OMB File,Assistant Secretary for Congressional Affairs,CompiledList,NA,NA,NA
36,3610,Department of Veterans Affairs,OMB File,Board of Veterans Appeals,CompiledList,NA,NA,NA
36,3611,Department of Veterans Affairs,OMB File,Assistant Secretary for Human Resources and Administration,CompiledList,NA,NA,NA
36,3612,Department of Veterans Affairs,OMB File,Board of Contract Appeals,CompiledList,NA,NA,NA
36,3613,Department of Veterans Affairs,OMB File,Office of Small and Disadvantaged Business Utilization,CompiledList,NA,NA,NA
