2017 NAICS Code,2017 NAICS Title,
453920,Art Dealers ,
453930,Manufactured (Mobile) Home Dealers ,
453991,Tobacco Stores ,
453998,All Other Miscellaneous Store Retailers (except Tobacco Stores) ,
454110,Electronic Shopping and Mail-Order Houses ,
454210,Vending Machine Operators ,
454310,Fuel Dealers ,
454390,Other Direct Selling Establishments ,
481111,Scheduled Passenger Air Transportation ,
481112,Scheduled Freight Air Transportation ,
481211,Nonscheduled Chartered Passenger Air Transportation ,
481212,Nonscheduled Chartered Freight Air Transportation ,
481219,Other Nonscheduled Air Transportation ,
482111,Line-Haul Railroads ,
482112,Short Line Railroads ,
483111,Deep Sea Freight Transportation ,
483112,Deep Sea Passenger Transportation ,
483113,Coastal and Great Lakes Freight Transportation ,
483114,Coastal and Great Lakes Passenger Transportation ,
483211,Inland Water Freight Transportation ,
483212,Inland Water Passenger Transportation ,
484110,"General Freight Trucking, Local ",
484121,"General Freight Trucking, Long-Distance, Truckload ",
484122,"General Freight Trucking, Long-Distance, Less Than Truckload ",
484210,Used Household and Office Goods Moving,
484220,"Specialized Freight (except Used Goods) Trucking, Local ",
484230,"Specialized Freight (except Used Goods) Trucking, Long-Distance ",
485111,Mixed Mode Transit Systems ,
485112,Commuter Rail Systems ,
485113,Bus and Other Motor Vehicle Transit Systems ,
485119,Other Urban Transit Systems ,
485210,Interurban and Rural Bus Transportation,
485310,Taxi Service ,
485320,Limousine Service,
485410,School and Employee Bus Transportation,
485510,Charter Bus Industry,
485991,Special Needs Transportation ,
485999,All Other Transit and Ground Passenger Transportation ,
486110,Pipeline Transportation of Crude Oil,
486210,Pipeline Transportation of Natural Gas,
486910,Pipeline Transportation of Refined Petroleum Products,
486990,All Other Pipeline Transportation,
487110,"Scenic and Sightseeing Transportation, Land",
487210,"Scenic and Sightseeing Transportation, Water",
487990,"Scenic and Sightseeing Transportation, Other",
488111,Air Traffic Control,
488119,Other Airport Operations ,
488190,Other Support Activities for Air Transportation,
488210,Support Activities for Rail Transportation,
488310,Port and Harbor Operations,
488320,Marine Cargo Handling,
488330,Navigational Services to Shipping ,
488390,Other Support Activities for Water Transportation,
488410,Motor Vehicle Towing,
488490,Other Support Activities for Road Transportation ,
488510,Freight Transportation Arrangement ,
488991,Packing and Crating ,
488999,All Other Support Activities for Transportation ,
491110,Postal Service,
492110,Couriers and Express Delivery Services,
492210,Local Messengers and Local Delivery,
493110,General Warehousing and Storage ,
493120,Refrigerated Warehousing and Storage,
493130,Farm Product Warehousing and Storage,
493190,Other Warehousing and Storage,
511110,Newspaper Publishers ,
511120,Periodical Publishers ,
511130,Book Publishers ,
511140,Directory and Mailing List Publishers ,
511191,Greeting Card Publishers ,
511199,All Other Publishers ,
511210,Software Publishers,
512110,Motion Picture and Video Production ,
512120,Motion Picture and Video Distribution,
512131,Motion Picture Theaters (except Drive-Ins) ,
512132,Drive-In Motion Picture Theaters ,
512191,Teleproduction and Other Postproduction Services ,
512199,Other Motion Picture and Video Industries ,
512230,Music Publishers,
512240,Sound Recording Studios,
512250,Record Production and Distribution,
512290,Other Sound Recording Industries,
515111,Radio Networks ,
515112,Radio Stations ,
515120,Television Broadcasting,
515210,Cable and Other Subscription Programming,
517311,Wired Telecommunications Carriers ,
517312,Wireless Telecommunications Carriers (except Satellite),
517410,Satellite Telecommunications,
517911,Telecommunications Resellers ,
517919,All Other Telecommunications ,
518210,"Data Processing, Hosting, and Related Services",
519110,News Syndicates,
519120,Libraries and Archives ,
519130,Internet Publishing and Broadcasting and Web Search Portals,
519190,All Other Information Services,
521110,Monetary Authorities-Central Bank,
522110,Commercial Banking ,
522120,Savings Institutions ,
522130,Credit Unions ,
522190,Other Depository Credit Intermediation ,
522210,Credit Card Issuing ,
522220,Sales Financing ,
522291,Consumer Lending ,
522292,Real Estate Credit ,
522293,International Trade Financing ,
522294,Secondary Market Financing ,
522298,All Other Nondepository Credit Intermediation ,
522310,Mortgage and Nonmortgage Loan Brokers ,
522320,"Financial Transactions Processing, Reserve, and Clearinghouse Activities ",
522390,Other Activities Related to Credit Intermediation ,
523110,Investment Banking and Securities Dealing ,
523120,Securities Brokerage ,
523130,Commodity Contracts Dealing ,
523140,Commodity Contracts Brokerage ,
523210,Securities and Commodity Exchanges,
523910,Miscellaneous Intermediation ,
523920,Portfolio Management ,
523930,Investment Advice ,
523991,"Trust, Fiduciary, and Custody Activities ",
523999,Miscellaneous Financial Investment Activities ,
524113,Direct Life Insurance Carriers ,
524114,Direct Health and Medical Insurance Carriers ,
524126,Direct Property and Casualty Insurance Carriers ,
524127,Direct Title Insurance Carriers ,
524128,"Other Direct Insurance (except Life, Health, and Medical) Carriers ",
524130,Reinsurance Carriers ,
524210,Insurance Agencies and Brokerages ,
524291,Claims Adjusting ,
524292,Third Party Administration of Insurance and Pension Funds ,
524298,All Other Insurance Related Activities ,
525110,Pension Funds ,
525120,Health and Welfare Funds ,
525190,Other Insurance Funds ,
525910,Open-End Investment Funds ,
525920,"Trusts, Estates, and Agency Accounts ",
525990,Other Financial Vehicles ,
531110,Lessors of Residential Buildings and Dwellings ,
531120,Lessors of Nonresidential Buildings (except Miniwarehouses) ,
531130,Lessors of Miniwarehouses and Self-Storage Units ,
531190,Lessors of Other Real Estate Property ,
531210,Offices of Real Estate Agents and Brokers,
531311,Residential Property Managers ,
531312,Nonresidential Property Managers ,
531320,Offices of Real Estate Appraisers ,
531390,Other Activities Related to Real Estate ,
532111,Passenger Car Rental ,
532112,Passenger Car Leasing ,
532120,"Truck, Utility Trailer, and RV (Recreational Vehicle) Rental and Leasing ",
532210,Consumer Electronics and Appliances Rental,
532281,Formal Wear and Costume Rental,
532282,Video Tape and Disc Rental,
532283,Home Health Equipment Rental ,
532284,Recreational Goods Rental ,
532289,All Other Consumer Goods Rental ,
532310,General Rental Centers,
532411,"Commercial Air, Rail, and Water Transportation Equipment Rental and Leasing ",
532412,"Construction, Mining, and Forestry Machinery and Equipment Rental and Leasing ",
532420,Office Machinery and Equipment Rental and Leasing,
532490,Other Commercial and Industrial Machinery and Equipment Rental and Leasing ,
533110,Lessors of Nonfinancial Intangible Assets (except Copyrighted Works),
541110,Offices of Lawyers,
541120,Offices of Notaries,
541191,Title Abstract and Settlement Offices ,
541199,All Other Legal Services ,
541211,Offices of Certified Public Accountants ,
541213,Tax Preparation Services ,
541214,Payroll Services ,
541219,Other Accounting Services ,
541310,Architectural Services,
541320,Landscape Architectural Services,
541330,Engineering Services,
541340,Drafting Services,
541350,Building Inspection Services,
541360,Geophysical Surveying and Mapping Services,
541370,Surveying and Mapping (except Geophysical) Services,
541380,Testing Laboratories,
541410,Interior Design Services,
541420,Industrial Design Services,
541430,Graphic Design Services,
541490,Other Specialized Design Services,
541511,Custom Computer Programming Services ,
541512,Computer Systems Design Services ,
541513,Computer Facilities Management Services ,
541519,Other Computer Related Services,
541611,Administrative Management and General Management Consulting Services ,
541612,Human Resources Consulting Services ,
541613,Marketing Consulting Services ,
541614,"Process, Physical Distribution, and Logistics Consulting Services ",
541618,Other Management Consulting Services ,
541620,Environmental Consulting Services,
541690,Other Scientific and Technical Consulting Services,
541713,Research and Development in Nanotechnology ,
541714,Research and Development in Biotechnology (except Nanobiotechnology),
541715,"Research and Development in the Physical, Engineering, and Life Sciences (except Nanotechnology and Biotechnology) ",
541720,Research and Development in the Social Sciences and Humanities ,
541810,Advertising Agencies,
541820,Public Relations Agencies,
541830,Media Buying Agencies,
541840,Media Representatives,
541850,Outdoor Advertising,
541860,Direct Mail Advertising,
541870,Advertising Material Distribution Services,
541890,Other Services Related to Advertising ,
541910,Marketing Research and Public Opinion Polling,
541921,"Photography Studios, Portrait ",
541922,Commercial Photography ,
541930,Translation and Interpretation Services,
541940,Veterinary Services ,
541990,"All Other Professional, Scientific, and Technical Services",
551111,Offices of Bank Holding Companies ,
551112,Offices of Other Holding Companies ,
551114,"Corporate, Subsidiary, and Regional Managing Offices ",
561110,Office Administrative Services,
561210,Facilities Support Services,
561311,Employment Placement Agencies ,
561312,Executive Search Services ,
561320,Temporary Help Services,
561330,Professional Employer Organizations,
561410,Document Preparation Services,
561421,Telephone Answering Services ,
561422,Telemarketing Bureaus and Other Contact Centers ,
561431,Private Mail Centers ,
561439,Other Business Service Centers (including Copy Shops) ,
561440,Collection Agencies,
561450,Credit Bureaus,
561491,Repossession Services ,
561492,Court Reporting and Stenotype Services ,
561499,All Other Business Support Services ,
561510,Travel Agencies,
561520,Tour Operators,
561591,Convention and Visitors Bureaus ,
561599,All Other Travel Arrangement and Reservation Services ,
561611,Investigation Services ,
561612,Security Guards and Patrol Services ,
561613,Armored Car Services ,
561621,Security Systems Services (except Locksmiths) ,
561622,Locksmiths ,
561710,Exterminating and Pest Control Services,
561720,Janitorial Services ,
561730,Landscaping Services,
561740,Carpet and Upholstery Cleaning Services,
561790,Other Services to Buildings and Dwellings ,
561910,Packaging and Labeling Services,
561920,Convention and Trade Show Organizers,
561990,All Other Support Services,
562111,Solid Waste Collection ,
562112,Hazardous Waste Collection ,
562119,Other Waste Collection ,
562211,Hazardous Waste Treatment and Disposal ,
562212,Solid Waste Landfill ,
562213,Solid Waste Combustors and Incinerators ,
562219,Other Nonhazardous Waste Treatment and Disposal ,
562910,Remediation Services ,
562920,Materials Recovery Facilities ,
562991,Septic Tank and Related Services ,
562998,All Other Miscellaneous Waste Management Services ,
611110,Elementary and Secondary Schools ,
611210,Junior Colleges ,
611310,"Colleges, Universities, and Professional Schools ",
611410,Business and Secretarial Schools ,
611420,Computer Training ,
611430,Professional and Management Development Training ,
611511,Cosmetology and Barber Schools ,
611512,Flight Training ,
611513,Apprenticeship Training ,
611519,Other Technical and Trade Schools ,
611610,Fine Arts Schools ,
611620,Sports and Recreation Instruction ,
611630,Language Schools ,
611691,Exam Preparation and Tutoring ,
611692,Automobile Driving Schools ,
611699,All Other Miscellaneous Schools and Instruction ,
611710,Educational Support Services,
621111,Offices of Physicians (except Mental Health Specialists) ,
621112,"Offices of Physicians, Mental Health Specialists ",
621210,Offices of Dentists ,
621310,Offices of Chiropractors ,
621320,Offices of Optometrists,
621330,Offices of Mental Health Practitioners (except Physicians) ,
621340,"Offices of Physical, Occupational and Speech Therapists, and Audiologists ",
621391,Offices of Podiatrists ,
621399,Offices of All Other Miscellaneous Health Practitioners ,
621410,Family Planning Centers ,
621420,Outpatient Mental Health and Substance Abuse Centers ,
621491,HMO Medical Centers ,
621492,Kidney Dialysis Centers ,
621493,Freestanding Ambulatory Surgical and Emergency Centers ,
621498,All Other Outpatient Care Centers ,
621511,Medical Laboratories ,
621512,Diagnostic Imaging Centers ,
621610,Home Health Care Services,
621910,Ambulance Services ,
621991,Blood and Organ Banks ,
621999,All Other Miscellaneous Ambulatory Health Care Services ,
622110,General Medical and Surgical Hospitals ,
622210,Psychiatric and Substance Abuse Hospitals ,
622310,Specialty (except Psychiatric and Substance Abuse) Hospitals ,
623110,Nursing Care Facilities (Skilled Nursing Facilities) ,
623210,Residential Intellectual and Developmental Disability Facilities ,
623220,Residential Mental Health and Substance Abuse Facilities ,
623311,Continuing Care Retirement Communities ,
623312,Assisted Living Facilities for the Elderly ,
623990,Other Residential Care Facilities ,
624110,Child and Youth Services ,
624120,Services for the Elderly and Persons with Disabilities ,
624190,Other Individual and Family Services ,
624210,Community Food Services ,
624221,Temporary Shelters ,
624229,Other Community Housing Services ,
624230,Emergency and Other Relief Services ,
624310,Vocational Rehabilitation Services ,
624410,Child Day Care Services ,
711110,Theater Companies and Dinner Theaters ,
711120,Dance Companies ,
711130,Musical Groups and Artists ,
711190,Other Performing Arts Companies ,
711211,Sports Teams and Clubs ,
711212,Racetracks ,
711219,Other Spectator Sports ,
711310,"Promoters of Performing Arts, Sports, and Similar Events with Facilities ",
711320,"Promoters of Performing Arts, Sports, and Similar Events without Facilities ",
711410,"Agents and Managers for Artists, Athletes, Entertainers, and Other Public Figures",
711510,"Independent Artists, Writers, and Performers ",
712110,Museums ,
712120,Historical Sites,
712130,Zoos and Botanical Gardens ,
712190,Nature Parks and Other Similar Institutions,
713110,Amusement and Theme Parks ,
713120,Amusement Arcades,
713210,Casinos (except Casino Hotels),
713290,Other Gambling Industries ,
713910,Golf Courses and Country Clubs,
713920,Skiing Facilities,
713930,Marinas,
713940,Fitness and Recreational Sports Centers ,
713950,Bowling Centers,
713990,All Other Amusement and Recreation Industries ,
721110,Hotels (except Casino Hotels) and Motels ,
721120,Casino Hotels,
721191,Bed-and-Breakfast Inns ,
721199,All Other Traveler Accommodation ,
721211,RV (Recreational Vehicle) Parks and Campgrounds ,
721214,Recreational and Vacation Camps (except Campgrounds) ,
721310,"Rooming and Boarding Houses, Dormitories, and Workers' Camps ",
722310,Food Service Contractors,
722320,Caterers,
722330,Mobile Food Services,
722410,Drinking Places (Alcoholic Beverages) ,
722511,Full-Service Restaurants ,
722513,Limited-Service Restaurants ,
722514,"Cafeterias, Grill Buffets, and Buffets ",
722515,Snack and Nonalcoholic Beverage Bars ,
811111,General Automotive Repair ,
811112,Automotive Exhaust System Repair ,
811113,Automotive Transmission Repair ,
811118,Other Automotive Mechanical and Electrical Repair and Maintenance ,
811121,"Automotive Body, Paint, and Interior Repair and Maintenance ",
811122,Automotive Glass Replacement Shops ,
811191,Automotive Oil Change and Lubrication Shops ,
811192,Car Washes ,
811198,All Other Automotive Repair and Maintenance ,
811211,Consumer Electronics Repair and Maintenance ,
811212,Computer and Office Machine Repair and Maintenance ,
811213,Communication Equipment Repair and Maintenance ,
811219,Other Electronic and Precision Equipment Repair and Maintenance ,
811310,Commercial and Industrial Machinery and Equipment (except Automotive and Electronic) Repair and Maintenance ,
811411,Home and Garden Equipment Repair and Maintenance ,
811412,Appliance Repair and Maintenance ,
811420,Reupholstery and Furniture Repair,
811430,Footwear and Leather Goods Repair,
811490,Other Personal and Household Goods Repair and Maintenance ,
812111,Barber Shops ,
812112,Beauty Salons ,
812113,Nail Salons ,
812191,Diet and Weight Reducing Centers ,
812199,Other Personal Care Services ,
812210,Funeral Homes and Funeral Services ,
812220,Cemeteries and Crematories ,
812310,Coin-Operated Laundries and Drycleaners ,
812320,Drycleaning and Laundry Services (except Coin-Operated) ,
812331,Linen Supply ,
812332,Industrial Launderers ,
812910,Pet Care (except Veterinary) Services ,
812921,Photofinishing Laboratories (except One-Hour) ,
812922,One-Hour Photofinishing ,
812930,Parking Lots and Garages ,
812990,All Other Personal Services ,
813110,Religious Organizations ,
813211,Grantmaking Foundations ,
813212,Voluntary Health Organizations ,
813219,Other Grantmaking and Giving Services ,
813311,Human Rights Organizations ,
813312,"Environment, Conservation and Wildlife Organizations ",
813319,Other Social Advocacy Organizations ,
813410,Civic and Social Organizations ,
813910,Business Associations ,
813920,Professional Organizations ,
813930,Labor Unions and Similar Labor Organizations ,
813940,Political Organizations ,
813990,"Other Similar Organizations (except Business, Professional, Labor, and Political Organizations) ",
814110,Private Households,
921110,Executive Offices ,
921120,Legislative Bodies ,
921130,Public Finance Activities ,
921140,"Executive and Legislative Offices, Combined ",
921150,American Indian and Alaska Native Tribal Governments ,
921190,Other General Government Support ,
922110,Courts ,
922120,Police Protection ,
922130,Legal Counsel and Prosecution ,
922140,Correctional Institutions ,
922150,Parole Offices and Probation Offices ,
922160,Fire Protection ,
922190,"Other Justice, Public Order, and Safety Activities ",
923110,Administration of Education Programs ,
923120,Administration of Public Health Programs ,
923130,"Administration of Human Resource Programs (except Education, Public Health, and Veterans' Affairs Programs) ",
923140,Administration of Veterans' Affairs ,
924110,Administration of Air and Water Resource and Solid Waste Management Programs ,
924120,Administration of Conservation Programs ,
925110,Administration of Housing Programs ,
925120,Administration of Urban Planning and Community and Rural Development ,
926110,Administration of General Economic Programs ,
926120,Regulation and Administration of Transportation Programs ,
926130,"Regulation and Administration of Communications, Electric, Gas, and Other Utilities ",
926140,Regulation of Agricultural Marketing and Commodities ,
926150,"Regulation, Licensing, and Inspection of Miscellaneous Commercial Sectors ",
927110,Space Research and Technology ,
928110,National Security ,
928120,International Affairs ,
