PSC CODE,length,PRODUCT AND SERVICE CODE NAME,START DATE,END DATE,PRODUCT AND SERVICE CODE FULL NAME,PRODUCT AND SERVICE CODE EXCLUDES,PRODUCT AND SERVICE CODE NOTES,PRODUCT AND SERVICE CODE INCLUDES
5925,4,CIRCUIT BREAKERS,1978-10-15,,Circuit Breakers,Relays.,,Circuit Breakers and Cutouts.
5930,4,SWITCHES,1978-10-15,,Switches,Switchgear.,,"Rotary, Knife, Toggle.  Push Button, Mercury, Thermostatic,  and Differential Pressure Switches."
5935,4,"CONNECTORS, ELECTRICAL",1978-10-15,,"Connectors, Electrical","Interconnectors, Fiber Optic.",,Plugs; Jacks; Receptacles; Electronic Component Sockets and Associated Accessories.
5940,4,"LUGS, TERMINALS, AND TERMINAL STRIPS",2011-10-01,,"Lugs, Terminals, and Terminal Strips","Caps, Electrical; Clips Electrical; and Contacts, Electrical.",,Binding Posts; Battery Clips; Stud Terminals; Test Clips.
5945,4,RELAYS AND SOLENOIDS,1978-10-15,,Relays and Solenoids,Contactors.,,Electromagnetic Actuators.
5950,4,COILS AND TRANSFORMERS,1978-10-15,,Coils and Transformers,,,"Coils, except ignition and magneto; coil assemblies; magnetic amplifiers; reactors; transformers."
5955,4,OSCILLATORS AND PIEZOELECTRIC CRYSTALS,2011-10-01,,Oscillators and Piezoelectric Crystals,"Crystal Controlled Oscillators and Noncrystal Controlled Oscillators  which meet the definition of the term. ""electronic module"" as defined for FSC 5963 and Microcircuits.",,"Crystal Units, Processed Unmounted  Crystals, Crystal Controlled Oscillators and Noncrystal Controlled Oscillators."
5960,4,ELECTRON TUBES AND ASSOCIATED HARDWARE,2011-10-01,,Electron Tubes and Associated Hardware,Transistors; Tube Sockets; X-ray Tubes; Semiconductor Devices and Associated Hardware.,,Rectifying Tubes; Photoelectric Tubes; Electron Vibrator Tubes.
5961,4,SEMICONDUCTOR DEVICES AND ASSOCIATED HARDWARE,2011-10-01,,Semiconductor Devices and Associated Hardware,Microcircuits; Optoelectronic Devices and Associated Hardware.,,"Semiconductor Assemblies; Semiconductor Diodes; Semiconductor Rectifiers, Semiconductor Thyristors; Transistors; Unitized Semiconductors; Associated Hardware except Sockets."
5962,4,"MICROCIRCUITS, ELECTRONIC",1978-10-15,,"Microcircuits, Electronic",Single Circuit Elements such as Capacitors; Resistors; Diodes and Transistors; Printed Circuit Boards and- Circuit Card Assemblies; and Filters and Networks.,"(1) A microcircuit is defined as follows:  A small circuit having  a high equivalent circuit element density, which is considered as a single part  composed of interconnected elements placed and/or formed on or within a single  substrate to perform an electronic circuit function.  The elements may be  on or within a semiconductor material substrate; may consist of conductive film(s) formed on an insulating substrate; or may be a combination of one or both of these types with discrete elements. (2) The term ""microcircuit"", as applied to circuit devices included in this class, is delimited to exclude items consisting  solely of interconnected ""microcomponents"" (discrete miniaturized components).   Also excluded are items fabricated in the form of monolithic thick-film or thin-film structures that in themselves are not functional electronic circuits   (e.g., capacitors, resistors, transistors, or ""arrays"" thereof).","Integrated Circuit Devices; Integrated Circuit Modules; Integrated Electronic Devices: Hybrid, Magnetic, Molecular, Opto-Electronic, and Thin Film."
5963,4,ELECTRONIC MODULES,1980-03-15,,Electronic Modules,Microcircuits; Electronic Test Equipment Plug-In Units.,"The term ""electronic module"" as used in this class designates an electronic component designed for use in various equipment or end item  applications, and capable of controlling voltage and/or current to produce  gain, oscillation, switching or similar integral electronic functions.  It consists of a collection of miniaturized electronic parts and/or elements in a  single replaceable package with plug-in mounting which will also complete the  required electrical connections.  It is not normally subject to disassembly as  distinguished from such items as CIRCUIT CARD ASSEMBLY and  ELECTRONIC COMPONENTS ASSEMBLY.  These modules conform to  industry or government specifications/standards that define all physical  dimensions and electrical parameters required to promote commonality and  ensure proper operational performance.",Microcircuits; Electronic Test Equipment Plug-In Units.
5965,4,"HEADSETS, HANDSETS, MICROPHONES AND SPEAKERS",2011-10-01,,"Headsets, Handsets, Microphones and Speakers",,,
5970,4,ELECTRICAL INSULATORS AND INSULATING MATERIALS,2011-10-01,,Electrical Insulators and Insulating Materials,,,"Tube, Knob, Cleat, Strain, and Standoff Insulators; Feed Thru  Insulators; Bead Insulators; Varnish Cambrie Tape; Friction Tape."
5975,4,ELECTRICAL HARDWARE AND SUPPLIES,1978-10-15,,Electrical Hardware and Supplies,,,"Conduit; Raceways; Face Plates; Condulets; Outlet and Junction Boxes; Pole Line Hardware, not elsewhere classifiable."
5977,4,ELECTRICAL CONTACT BRUSHES AND ELECTRODES,2011-10-01,,Electrical Contact Brushes and Electrodes,"Anodes; Cathodes, Welding Electrodes.",,Brushes for electrical rotating equipment; Carbon Stock for Brushes; Brush Arm and Holders; Lighting Electrodes.
5980,4,OPTOELECTRONIC DEVICES AND ASSOCIATED HARDWARE,2011-10-01,,Optoelectronic Devices and Associated Hardware,"Electric lighting fixtures, lamps, and associated hardware.",,"Optoelectronic devices and assemblies which display numeric, alphanumeric, symbolic, or graphic information emitters, and nondisplay optoelectronic  devices, such as couplers, detectors, and switches which perform an active function in an  electronic system."
5985,4,"ANTENNAS, WAVEGUIDES, AND RELATED EQUIPMENT",2011-10-01,,"Antennas, Waveguide, and Related Equipment",Tower Structures.,,Aerials; Mast; Tower Equipment; Attenuators; Couplers; Transmission Lines.
5990,4,SYNCHROS AND RESOLVERS,1978-10-15,,Synchros and Resolvers,Synchro Systems; Servo Mechanisms.,,Synchro Systems; Servo Mechanisms.
5995,4,"CABLE, CORD, AND WIRE ASSEMBLIES: COMMUNICATION EQUIPMENT",2011-10-01,,"Cable, Cord, and Wire Assemblies: Communication Equipment","Cable Assemblies, Fiber Optic","This class includes only those types of cable, cord, and wire  assemblies and sets (and wiring harnesses) used on or  with equipment  and components covered by groups 58 and 59. Cable, cord, wire assemblies,  and sets (wiring harnesses) used on or with equipment classified in FSC groups  other than groups 58 or 59 are classified in FSC class 6150 if multiapplication, or classified with the next higher classifiable assembly if specially designed.","Cable Assemblies, Fiber Optic"
5996,4,AMPLIFIERS,1991-10-01,,Amplifiers,"Multi-functional items such as Amplifier-Detector, Amplifier-Mixer and microcircuit devices.",,"Audio Amplifiers, Complementary Amplifiers, Amplifiers, Operational Amplifiers, Power Amplifiers, Radio Frequency Amplifiers, Signal Amplifiers, and Video Amplifiers."
5998,4,"ELECTRICAL AND ELECTRONIC ASSEMBLIES, BOARDS, CARDS, AND ASSOCIATED HARDWARE",2011-10-01,,"Electrical and Electronic Assemblies; Boards, Cards, and Associated Hardware",circuit card and electronic component assemblies which can be identified to a more definitive Approved Item Name.,,circuit card and electronic component assemblies which can be identified to a more definitive Approved Item Name.
5999,4,MISCELLANEOUS ELECTRICAL AND ELECTRONIC COMPONENTS,2011-10-01,,Miscellaneous Electrical and Electronic Components,,,"Permanent Magnets and Magnetostriction Elements; Caps, Clips, and Contacts, Electrical."
60,2,FIBER OPTIC,1979-10-01,,,,"Fiber Optics is a general term used to describe the function where optical energy (i.e., light/laser driven rays) is guided to another location through fiber(s).  This group includes Fiber Optics items such as parts, materials, and devices used for communications, data transmission, or  illumination.  Excludes Imaging devices under FSG 65 (Medical); hand tools under FSG 51;  Electrical, Electronic and Optical Instruments under FSG 66 (Instruments).",
6010,4,FIBER OPTIC CONDUCTORS,1981-02-15,,Fiber Optic Conductors,,Included in this class are bulk discrete fibers.,
6015,4,FIBER OPTIC CABLES,1980-09-15,,Fiber Optic Cables,,Included in this class are one or more discrete fiber optic conductors with  a common protective covering in bulk form.  May include electrical conductors/cables and/or reinforcing material.,
6020,4,FIBER OPTIC CABLE ASSEMBLIES AND HARNESSES,2011-10-01,,Fiber Optic Cable Assemblies and Harnesses,,Included in this class are items used for communication and/or data transmission having one or more fiber optic conductors/cables with processed  end(s) or terminated in fitting(s).  Excluded from this class are items used for illumination and/or image transmission.,
6021,4,FIBER OPTIC SWITCHES,1991-10-01,,Fiber Optic Switches,,Included in this class are switches used for line selection in fiber  optic systems.,
6030,4,FIBER OPTIC DEVICES,1980-07-15,,Fiber Optic Devices,,"Included in this class are such items as transmitters, receivers, mutliplexers, demultiplexers, modulators, demodulators, repeaters, attenuators, filters, integrated optical circuits, and the like, used in fiber optic systems.",
6032,4,FIBER OPTIC LIGHT SOURCES AND PHOTO DETECTORS,2011-10-01,,Fiber Optic Light Sources and Photo Detectors,,Included in this class are light emitting and laser diodes and photo detectors used in fiber optic systems.,
6035,4,FIBER OPTIC LIGHT TRANSFER AND IMAGE TRANSFER DEVICES,2011-10-01,,Fiber Optic Light Transfer and Image Transfer Devices,,Included in this class are fiber optic devices used for illumination  and/or image transmission.  Excluded from this class are items used for  communication and/or data transmission.,
6060,4,FIBER OPTIC INTERCONNECTORS,1981-07-15,,Fiber Optic Interconnectors,Electrical connectors,"Included in this class are all types of fiber optic terminations, such as connectors, dividers, couplers, rotary and nonrotary joints, splitters, mixers and splicers and the like.",Electrical connectors
6070,4,FIBER OPTIC ACCESSORIES AND SUPPLIES,2011-10-01,,Fiber Optic Accessories and Supplies,,"Included in this class are mode stripping materials, index matching materials and other related supplies.  Excluded from this class are hardware and supplies common to both electrical and fiber optic applications which are classifiable in FSC 5975.",
6080,4,FIBER OPTIC KITS AND SETS,1981-05-15,,Fiber Optic Kits and Sets,tool kits and sets which are classifiable in FSC 5180; test set/ instruments  classifiable in FSG 66; and end item sets/ equipment utilizing fiber optic components which are classifiable in the applicable equipment FSC.,"Includes kits and sets which consists of fiber optic components only; fiber optic components and related parts; fiber optic components and related tools; or fiber optic components, related parts and related tools.",tool kits and sets which are classifiable in FSC 5180; test set/ instruments  classifiable in FSG 66; and end item sets/ equipment utilizing fiber optic components which are classifiable in the applicable equipment FSC.
6099,4,MISCELLANEOUS FIBER OPTIC COMPONENTS,2011-10-01,,Miscellaneous Fiber Optic Components,,"Included in this, class are fiber optic items which are not  classifiable in a more specific class. (See the ""Note"" for FSG 60.)",
61,2,"ELECTRIC WIRE, POWER DISTRIB EQPT",1979-10-01,,,,,
6105,4,"MOTORS, ELECTRICAL",1978-10-15,,"Motors, Electrical",Starting Motors for Engines,,Starting Motors for Engines
6110,4,ELECTRICAL CONTROL EQUIPMENT,1978-10-15,,Electrical Control Equipment,Automatic Pilot Mechanisms; Relays; Resistors.,,Contactors:  Motor Controllers; Power Servomechanisms; Switchgear; Voltage Regulators.
6115,4,"GENERATORS AND GENERATOR SETS, ELECTRICAL",2011-10-01,,"Generators and Generator Sets, Electrical",Motor-Converters: Motor-Generator Sets; Engine Generators; Engine Accessory Generators.,,"Engine, Turbine, Wind, and Hand Driven Generator Sets and  Auxiliary Aircraft Generators."
6116,4,"FUEL CELL POWER UNITS, COMPONENTS, AND ACCESSORIES",2011-10-01,,"Fuel Cell Power Units, Components, and Accessories",Primary Batteries (FSC 6135); Secondary Batteries (FSC 6140); Generators and Generating Sets (FSC 6115); and items for which more suitable classes are specifically prescribed by the indexes and structure of the FSC.,"This class includes items that are designed to produce an electromotive  force directly from an oxidation-reduction type of chemical reaction.  A complete  power unit must include tanks, pumps, and associated control equipment, and  requires a continuous, uninterrupted supply of liquid or gaseous fuel and oxidizers.","Complete Functioning Fuel Cell Power Units; Fuel Cells: Fuel Cell Assemblies or Modules; Fuel Cell Reactant Chambers; Fuel Feed Mechanism; Electrolyte Heaters; Heat Exchangers; and other internal components peculiar to, and used exclusively  on or with, Fuel Cell Power Units classified in this class."
6117,4,SOLAR ELECTRIC POWER SYSTEMS,1991-07-15,,Solar Electric Power Systems,,This class includes items which are designed for the direct conversion  of solar energy into electrical power.,
6120,4,TRANSFORMERS: DISTRIBUTION AND POWER STATION,2011-10-01,,Transformers: Distribution and Power Station,Potential and Current Transformers.,This class includes transformers with a kilovolt-ampere rating  above  1 kva.,Potential and Current Transformers.
6125,4,"CONVERTERS, ELECTRICAL, ROTATING",1978-10-15,,"Converters, Electrical, Rotating",Nonrotating Equipment.,"This class includes devices employing mechanical rotation of changing electrical energy from one form to another (i.e., AC to AC, DC to DC, AC to DC,  DC to AC).  Excluded from this class are electrical generators and generator sets (FSC 6115).","Complete Battery Charging Equipment, Rotating; Dynamotors; Motor Converters; Motor-Generator Sets; Phase Converters; Rotating Equipment; Synchronous Converters."
6130,4,"CONVERTERS, ELECTRICAL, NONROTATING",1978-10-15,,"Converters, Electrical, Nonrotating",Rectifying Tubes; (FSC 5960); Rectifying Crystals (FSC 5961); Rotating Equipment (FSC 6125); Transformers (FSC 5950); and Semiconductor Devices and Associated Hardware (FSC 5961).,"This class includes devices employing a means other than mechanical rotation for changing electrical energy from one form to another (i.e., AC to AC, DC to DC, AC to DC, and DC to AC).","Complete Battery Charging Equipment, Nonrotating; Power Sup-plies, Multiapplication."
6135,4,"BATTERIES, NONRECHARGEABLE",1978-10-15,,"Batteries, Nonrechargeable",,,Cells and Dry Batteries; Nuclear Batteries.
6140,4,"BATTERIES, RECHARGEABLE",1978-10-15,,"Batteries, Rechargeable",,,Rechargeable Cells and Batteries.
6145,4,"WIRE AND CABLE, ELECTRICAL",1978-10-15,,"Wire and Cable, Electrical",Radio Frequency Transmission Line (FSC 5985); Fiber Optic Cable (FSC 6015); Communication Cable Assemblies; (FSC 5995); Distribution and Power Transmission Cable Assemblies (FSC 6150).,"This class includes only bulk electrical wire and cable.  Excluded  from this class are electrical wire and cable items of definite length either with  processed ends, or terminated in fittings","Insulated and Noninsulated, Wire and Cable, such as, Antenna Wire,  Coaxial Cable, Fuse and Resistance Wire, and Magnet Wire."
6150,4,MISCELLANEOUS ELECTRIC POWER AND DISTRIBUTION EQUIPMENT,2011-10-01,,Miscellaneous Electric Power and Distribution Equipment,,,"Appliance and Extension Cords; Electric Power and Distribution Cable with Attachments, Multiapplication; Common Components of Electrical Rotating Equipment, such as End Bells and Frames."
6160,4,"MISCELLANEOUS BATTERY RETAINING FIXTURES, LINERS AND ANCILLARY ITEMS",2011-10-01,,Miscellaneous Battery Retaining Fixtures and Liners,,,"Battery Boxes, Covers, Liners, Racks, Retainers, and Trays."
62,2,"LIGHTING FIXTURES, LAMPS",1979-10-01,,,,,
6210,4,INDOOR AND OUTDOOR ELECTRIC LIGHTING FIXTURES,2011-10-01,,Indoor and Outdoor Electric Lighting Fixtures,Nonelectrical Outdoor Fixtures; Signal Fixtures; Nonelectrical Indoor Fixtures.,,"Airport, Railroad Platform, Stadium, and Street Lighting Fixtures."
6220,4,ELECTRIC VEHICULAR LIGHTS AND FIXTURES,2011-10-01,,Electric Vehicular Lights and Fixtures,Nonelectrical Vehicular Fixtures.,,"Automotive, Marine, Railroad, and Aircraft Lights and Fixtures."
6230,4,ELECTRIC PORTABLE AND HAND LIGHTING EQUIPMENT,2011-10-01,,Electric Portable and Hand Lighting Equipment,Nonelectrical Portable and Hand Lighting Equipment; Signal and  Alarm Equipment.,,Floodlights; Searchlights; Extension Lights.
6240,4,ELECTRIC LAMPS,1978-10-15,,Electric Lamps,,,"Fluorescent Lamps; Incandescent Lamps, Large and Miniature;  Mercury Lamps; Sodium Lamps."
6250,4,"BALLASTS, LAMPHOLDERS, AND STARTERS",1978-12-15,,"Ballasts, Lampholders, and Starters",,,
6260,4,NONELECTRICAL LIGHTING FIXTURES,1978-10-15,,Nonelectrical Lighting Fixtures,,,"Lanterns, Nonelectrical; Hand and Portable Carbide Lamps; Candles."
63,2,"ALARM, SIGNAL, SECURITY DETECTION",1979-10-01,,,,,
6310,4,TRAFFIC AND TRANSIT SIGNAL SYSTEMS,1978-12-15,,Traffic and Transit Signal Systems,Railroad Signals.,,Railroad Signals.
6320,4,SHIPBOARD ALARM AND SIGNAL SYSTEMS,2011-10-01,,Shipboard Alarm and Signals Systems,,,
6330,4,RAILROAD SIGNAL AND WARNING DEVICES,1978-12-15,,Railroad Signal and Warning Devices,Semaphore Flag Signals.,,Railroad Gates; Flasher Lights; Block Signals.
6340,4,AIRCRAFT ALARM AND SIGNAL SYSTEMS,1978-10-15,,Aircraft Alarm and Signal Systems,Aircraft Engine Oil and Fuel Warning Devices.,,"Oxygen Pressure Signals and Warning Devices; such as Air Pressure Warning Signals, Aircraft Crew Warning Signals, Altitude Warning Signals, Alarm Controls, Audible Landing Gear Alarms."
6350,4,"MISCELLANEOUS ALARM, SIGNAL, AND SECURITY DETECTION SYSTEMS",2011-10-01,,"Miscellaneous Alarm, Signal, and Security Detection Systems",Loran; Radar; Sonar; Engine Oil and Fuel Warning Devices; Aircraft  Oxygen Warning Devices.,,Anti-intrusion Alarm Systems; Foghorns; Gongs; Chimes; Bells;  Burglar Alarm Systems; Fire Alarms; Police Alarm Systems; Sounding Devices; Manual Gas Alarms; Landing Wands.
65,2,MEDICAL/DENTAL/VETERINARY EQPT/SUPP,1979-10-01,,,,,
6505,4,DRUGS AND BIOLOGICALS,1978-10-15,,Drugs and Biologicals,Medicated cosmetics and toiletries classifiable in FSC 6508 and in vitro diagnostic substances and reagents classifiable in FSC 6550.,,"All drugs, medicinal grade chemicals, and biologicals subject to the Federal Food, Drug and Cosmetic Act, Department of Agriculture (Veterinary Drugs and Biologicals), listed in the Monograph Section of the U.S. Pharmacopeia or the National Formulary or covered by the United States Adopted Names (USAN)."
6508,4,MEDICATED COSMETICS AND TOILETRIES,1978-11-15,,Medicated Cosmetics and Toiletries,nonmedicated cosmetics and toiletries which are classifiable in group 85.,,"medicated cosmetics and toiletries that have been determined to be drugs in accordance with the Federal Food, Drug, and Cosmetic Act."
6509,4,"DRUGS AND BIOLOGICALS, VETERINARY USE",2005-05-01,,"Drugs and Biologicals, Veterinary Use.",Drugs and Biologicals specifically formulated for Human use classifiable in FSC 6505.,,"All Drugs, medicinal grade chemical, and Biologicals subject to the provisions of the Department of Agriculture (Veterinary Drugs and Biologicals) specifically formulated for Veterinary use. Other Nations may apply their own legal documents."
6510,4,SURGICAL DRESSING MATERIALS,1978-10-15,,Surgical Dressing Materials,,,"Bandages, Compresses, Dressings, Gauze, Pads, Sponges, and impregnated surgical dressing materials."
6515,4,"MEDICAL AND SURGICAL INSTRUMENTS, EQUIPMENT, AND SUPPLIES",2011-10-01,,"Medical and Surgical Instruments, Equipment, and Supplies","Ophthalmic Instruments, Equipment, and Supplies; Non-Medical Endoscopes.",,"Anesthesia Apparatus; Blood Transfusion Apparatus; Oxygen Therapy Apparatus; Respirators; Orthopedic Supplies; Arch Supports; Clinical Thermometers; Sutures; Hearing Aids; Veterinary  Equipment, Endoscopes, Fiber Optic."
6520,4,"DENTAL INSTRUMENTS, EQUIPMENT, AND SUPPLIES",2011-10-01,,"Dental Instruments, Equipment, and Supplies",,,Dental Engines; Dental Laboratory Equipment; Operating Chairs;  Orthodontic Appliances; Teeth; Dental Metals; Dental Abrasives; Dental  Laboratory Furniture.
6525,4,"IMAGING EQUIPMENT AND SUPPLIES: MEDICAL, DENTAL, VETERINARY",2011-10-01,,"X-Ray Equipment and Supplies: Medical, Dental, Veterinary",Industrial X-Ray Equipment.,,Medical X-Ray Film; Medical X-Ray Film Viewing Equipment; Medical X-Ray Film Processing and Finishing Equipment and Supplies; X-Ray Tubes.
6530,4,"HOSPITAL FURNITURE, EQUIPMENT, UTENSILS, AND SUPPLIES",2011-10-01,,"Hospital Furniture, Equipment, Utensils, and Supplies",,,Orthopedic Equipment; Operating Lights; Physiotherapy Equipment; Sterilizers; Wheel Chairs; Litters; Hospital Beds; Restraint Equipment.
6532,4,HOSPITAL AND SURGICAL CLOTHING AND RELATED SPECIAL PURPOSE ITEMS,2011-10-01,,Hospital and Surgical Clothing and Related Special Purpose Items,General purpose items of clothing and fabricated textile material.,,"Only those clothing items which are required exclusively for use in  hospital operations, or in medical or dental facilities, which have no functional  counterpart elsewhere in Federal Organizations Participating in the Federal  Catalog System."
6540,4,"OPHTHALMIC INSTRUMENTS, EQUIPMENT, AND SUPPLIES",2011-10-01,,"Ophthalmic Instruments, Equipment, and Supplies","Optical Lens Cutting and Grinding Machines: Ophthalmoscope  and Otoscope  Set; Surgical Instruments and Supplies that can be used by other medical disciplines; i.e., sutures, eye pads, eye shields, eye bath, and the like.",,"Ophthalmic Lens Cutting and Grinding Machine; Ophthalmic Lenses and Lens Blanks; Spectacle Frames; Ophthalmological and Optometric Instruments, Equipment, and Supplies"
6545,4,"REPLENISHABLE FIELD MEDICAL SETS, KITS, AND OUTFITS",2011-10-01,,"Replenishable Field Medical Sets, Kits, and Outfits","Sets and kits which can be logically classified in another FSC Class  in Group 65, such as Insect Sting Kit; Otoscope and Ophthalmoscope Set; In Vitro Diagnostic Test Kits; and the like.",,"Sets and kits which can be logically classified in another FSC Class  in Group 65, such as Insect Sting Kit; Otoscope and Ophthalmoscope Set; In Vitro Diagnostic Test Kits; and the like."
6550,4,"IN VITRO DIAGNOSTIC SUBSTANCES, REAGENTS, TEST KITS AND SETS",2011-10-01,,"In Vitro Diagnostic Substances, Reagents, Test Kits and Sets",in vitro diagnostic substances classifiable in FSC 6505.,,"In vitro diagnostic aids, such as test tablets, test slides, test strips, test cards, test papers, test solutions, reagents; sets and kits designated for in vitro qualitative and quantitative tests on specimens, such as blood, urine, feces, and the like, for the purposes of aiding in the medical diagnosis of disease, determining body organ dysfunction, or other abnormal conditions."
66,2,INSTRUMENTS AND LABORATORY EQPT,1979-10-01,,,,"Infrared assemblies (including sub-assemblies and components) designed specifically  for use as or with instruments and laboratory equipment are included in the classes of this group.  Also included are computers (including computer assemblies, computer systems and components) designed specifically for use with instruments and laboratory equipment",
6605,4,NAVIGATIONAL INSTRUMENTS,1978-10-15,,Navigational Instruments,,,Azimuths; Sextants; Octants; Compasses; Plotting Boards; Underwater Log Equipment; Air Position Indicators; Drift Meters.
6610,4,FLIGHT INSTRUMENTS,1978-10-15,,Flight Instruments,Navigational Instruments (FSC 6605).,,"Air Speed Indicators; Rate of Climb Indicators; Bank and Turn-Indicators; Pilot Tubes, Gyro Horizon Indicators; Attitude Gyro Indicators."
6615,4,AUTOMATIC PILOT MECHANISMS AND AIRBORNE GYRO COMPONENTS,2011-10-01,,Automatic Pilot Mechanisms and Airborne Gyro Components,"Automatic Pilot Training Devices (FSC 6930); Automatic Pilot Mechanisms, Guided Missile (FSC 1420).","Included in this class are gyro components of guided missiles.  Excluded are complete gyro mechanisms and nonairborne gyro components, both of which are  classified in the same classes as their next higher assemblies.","Automatic Pilot Regulators; Directional, Vertical, Bank and Turn, and Hydraulic Surface  Gyro Controls; Airborne and Shipborne Automatic Pilot Mechanisms; Helicopter Automatic Stabilization Equipment."
6620,4,ENGINE INSTRUMENTS,1978-10-15,,Engine Instruments,,Instruments designed for use on both engines and other than engines are not included in this class and should be classified in the appropriate instruments class of group 66.,"All Engine Instruments, including Aircraft, Marine, and Vehicular; Fuel Pressure Gages; Manifold Pressure Gages; Oil Pressure Gages; Fuel Mixture Indicators; Engine Oil and Fuel Warning Devices."
6625,4,ELECTRICAL AND ELECTRONIC PROPERTIES MEASURING AND TESTING INSTRUMENTS,2011-10-01,,Electrical and Electronic Properties Measuring and Testing Instruments,Radiac Equipment.,"This class includes all ""basic"" types of electrical and electronic test instruments, such as ammeters, voltmeters, ohmmeters, multimeters, and similar instruments, even if specially designed.  Excluded from this class by the modifier ""except specially designed"" are test instruments, other than ""basic"" instruments, which are specially designed for use with atomic ordnance, fire control, guided missile, motor vehicle, aircraft, or photographic equipment.  Such specially designed test instruments are to be classified in other classes in the Federal Supply Classification. This class includes communications test equipment, infrared test equipment designed for communication, and night vision maintenance and test specialized equipment.",Test Leads and Test Lead Attachments; Test instruments designed for communication equipment; Test instruments designed for use with electronic equipment classified in two or more FSC groups.
6630,4,CHEMICAL ANALYSIS INSTRUMENTS,1978-10-15,,Chemical Analysis Instruments,Gas Detecting Equipment; Manual Gas Alarms; Chemicals; In Vitro  Diagnostic Substances and Reagents.,,Acidity (pH) Meters; Gas Analyzers; Alkalinity Measuring Instruments; Colorimeters.
6635,4,PHYSICAL PROPERTIES TESTING AND INSPECTION,2011-10-01,,Physical Properties Testing and Inspection,General purpose Measuring Tools (FSC 5210) and Precision Measuring Tools and Inspection Gages (FSC 5220).,,Destructive and Nondestructive Inspection Equipment such as Fluorescent Penetrant Inspection Units; Magnetic Inspection Units; Industrial X-Ray Machines; Industrial X-Ray Film; Tensiometers; Material Hardness Testers.
6636,4,ENVIRONMENTAL CHAMBERS AND RELATED EQUIPMENT,2011-10-01,,Environmental Chambers and Related Equipment,"General purpose prefabricated buildings, chambers, panels, and components (FSC 5410); Controlled Environmental Conditioning Kits and Sets (FSC 4240); Baths (FSC 4510);  Ovens (FSC 7310); Kilns (FSC 3630); Radiosonde Baseline Check Sets (FSC 6660); Divers  Recompression Chambers (FSC 4220); Altitude Training Decompression Chambers (FSC 6930); and chambers used as training devices (FSC 6930);  Checkout and Test Equipment (FSC 6625); Chemical Analysis Instruments (FSC 6630); Electrical and Electronic Properties Measuring and Testing Instruments (FSC 6625); Meteorological Instruments (FSC 6660).","This class includes only those environmental chambers used exclusively to perform controlled tests, under simulated conditions, to determine physical damage and/or changes in operating characteristics for equipment and components  such as Humidity, Immersion, Moisture; Altitude; Explosion; Thermal Shock;  Sand and Dust; Flammability; Seal.  Environmental chambers included in this  class provide data regarding service life and behavior of various items equivalent  to actual service conditions existing in the field.",Chambers; Wind Tunnels; Enclosures specifically designed to simulate an environmental condition; Weatherometers; Fadeometers; Specially designed equipment and components exclusively related to environmental chambers.
6640,4,LABORATORY EQUIPMENT AND SUPPLIES,1978-10-15,,Laboratory Equipment and Supplies,Instruments covered by other classes in group 66; Dental Laboratory Equipment; Laboratory Scales and Balances; In Vitro Diagnostic Substances and Reagents.,,"Laboratory Glassware; Laboratory Funnels; Laboratory Furnaces;  Glass Beads; Laboratory White Sand; Litmus Paper; Paper Filters; Insect  Transfixion Pins; Laboratory Glass Wool; Laboratory Furniture, except Dental  Laboratory."
6645,4,TIME MEASURING INSTRUMENTS,1978-10-15,,Time Measuring Instruments,,,Clocks; Job Recording Devices; Time Recorders; Time Stamps; Watch and Clock Movements; Watches.
6650,4,"OPTICAL INSTRUMENTS, TEST EQUIPMENT, COMPONENTS AND ACCESSORIES",2011-10-01,,"Optical Instruments, Test Equipment, Components and Accessories","Fire Control Instruments, Optical; Surveying Instruments, Optical; Photogrammetric Instruments; Octants and Sextants; Optical Instruments Integrated with Fire Control Equipment; Ophthalmological Instruments; Electronic Fiber Optic Test Equipment; Medical Endoscopes.",,"Binoculars; Magnifiers; Microscopes; Periscopes; Telescopes.  Optical Elements, such as Lens, Prisms, Windows; Optical Benches and associated devices; Endoscopes, Fiber Optics (non-medical)."
6655,4,GEOPHYSICAL INSTRUMENTS,1978-12-15,,Geophysical Instruments,Telescopes.,,"Geodetic, Oceanographic, and Seismographic Instruments."
6660,4,METEOROLOGICAL INSTRUMENTS AND APPARATUS,2011-10-01,,Meteorological Instruments and Apparatus,,,Meteorological Balloons; Radiosonde Sets; Radarsonde Sets.
6665,4,HAZARD-DETECTING INSTRUMENTS AND APPARATUS,2011-10-01,,Hazard-Detecting Instruments and Apparatus,Manual Gas Alarms (FSC 6350).,,Radiac Equipment; Gas Detecting Equipment; Land Mine Detecting Equipment
6670,4,SCALES AND BALANCES,1978-10-15,,Scales and Balances,,,"Coin Operated, Household, Industrial, Postal, and Laboratory Scales and Balances."
6675,4,"DRAFTING, SURVEYING, AND MAPPING INSTRUMENTS",2011-10-01,,"Drafting, Surveying, and Mapping Instruments",Surveyors' Tapes.,,"Drawing Instruments, Drafting Tools; Engineering and Architectural Scales; Levels; Transits; Photogrammetric Instruments; Astrolabes; Level Rods; Plane Tables; Surveying Altimeters; Theodolites."
